Option,OverallGrade,EdgeCrossGrade,NodeOverlapGrade,EdgeCrossAngleGrade,AngResGrade,EdgeLengthGrade,PassedTime,,,,,,,,,,,,,,
chosenOption,0.6547827,0.788331,0.6745624,0.7001965,0.6867134,0.4241102,8.8937,,,,,,,,,,,,,,
chosenOption,0.6527312,0.6607589,0.7289613,0.6774254,0.5221476,0.674363,7.858824,,,,,,,,,,,,,,
chosenOption,0.6351086,0.7860932,0.636624,0.6870274,0.6804717,0.3853264,9.330103,,,,,,,,,,,,,,
chosenOption,0.6509163,0.8088112,0.6696434,0.6866505,0.6943741,0.3951027,14.28202,,,,,,,,,,,,,,
chosenOption,0.6616092,0.7278506,0.6688123,0.7179008,0.5360137,0.6574689,3.165912,,,,,,,,,,,,,,
chosenOption,0.6497949,0.8232275,0.7091943,0.7233904,0.6509866,0.342176,14.94951,,,,,,,,,,,,,,
chosenOption,0.6101148,0.5782183,0.673486,0.6720084,0.4494493,0.6774123,7.96938,,,,,,,,,,,,,,
chosenOption,0.5001283,0.3379674,0.4222278,0.6976374,0.553152,0.4896565,7.951623,,,,,,,,,,,,,,
chosenOption,0.5721483,0.441165,0.5449305,0.7449641,0.5336637,0.596018,5.573813,,,,,,,,,,,,,,
chosenOption,0.4895931,0.3489083,0.5154325,0.7177924,0.5505981,0.3152346,4.598166,,,,,,,,,,,,,,
chosenOption,0.6223191,0.7025995,0.6771082,0.704082,0.7210635,0.3067425,7.853467,,,,,,,,,,,,,,
chosenOption,0.6430334,0.6052901,0.6283501,0.7573219,0.4734872,0.750718,8.69502,,,,,,,,,,,,,,
chosenOption,0.6259074,0.5032132,0.6301259,0.7150214,0.5086648,0.772512,16.39088,,,,,,,,,,,,,,
chosenOption,0.6019282,0.7706268,0.5618697,0.7404505,0.6965346,0.2401593,6.619028,,,,,,,,,,,,,,
chosenOption,0.6398317,0.8603899,0.6755534,0.6917369,0.6386364,0.3328417,1.810116,,,,,,,,,,,,,,
chosenOption,0.605476,0.7877938,0.5454354,0.7264098,0.7242761,0.2434645,10.09523,,,,,,,,,,,,,,
chosenOption,0.6241971,0.7981682,0.5629674,0.7245257,0.6887686,0.3465552,4.653987,,,,,,,,,,,,,,
chosenOption,0.6632587,0.8658899,0.7645597,0.673596,0.6652879,0.3469599,9.99864,,,,,,,,,,,,,,
chosenOption,0.6607395,0.93844,0.6515365,0.7169942,0.6210681,0.3756588,9.971804,,,,,,,,,,,,,,
chosenOption,0.6601673,0.8708447,0.6903012,0.6992512,0.5983532,0.4420859,4.574104,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,OverallGrade,0.6547827,0.6527312,0.6351086,0.6509163,0.6616092,0.6497949,0.6101148,0.5001283,0.5721483,0.4895931,0.6223191,0.6430334,0.6259074,0.6019282,0.6398317,0.605476,0.6241971,0.6632587,0.6607395,0.6601673
,EdgeCrossGrade,0.788331,0.6607589,0.7860932,0.8088112,0.7278506,0.8232275,0.5782183,0.3379674,0.441165,0.3489083,0.7025995,0.6052901,0.5032132,0.7706268,0.8603899,0.7877938,0.7981682,0.8658899,0.93844,0.8708447
,NodeOverlapGrade,0.6745624,0.7289613,0.636624,0.6696434,0.6688123,0.7091943,0.673486,0.4222278,0.5449305,0.5154325,0.6771082,0.6283501,0.6301259,0.5618697,0.6755534,0.5454354,0.5629674,0.7645597,0.6515365,0.6903012
,EdgeCrossAngleGrade,0.7001965,0.6774254,0.6870274,0.6866505,0.7179008,0.7233904,0.6720084,0.6976374,0.7449641,0.7177924,0.704082,0.7573219,0.7150214,0.7404505,0.6917369,0.7264098,0.7245257,0.673596,0.7169942,0.6992512
,AngResGrade,0.6867134,0.5221476,0.6804717,0.6943741,0.5360137,0.6509866,0.4494493,0.553152,0.5336637,0.5505981,0.7210635,0.4734872,0.5086648,0.6965346,0.6386364,0.7242761,0.6887686,0.6652879,0.6210681,0.5983532
,EdgeLengthGrade,0.4241102,0.674363,0.3853264,0.3951027,0.6574689,0.342176,0.6774123,0.4896565,0.596018,0.3152346,0.3067425,0.750718,0.772512,0.2401593,0.3328417,0.2434645,0.3465552,0.3469599,0.3756588,0.4420859
,PassedTime,8.8937,7.858824,9.330103,14.28202,3.165912,14.94951,7.96938,7.951623,5.573813,4.598166,7.853467,8.69502,16.39088,6.619028,1.810116,10.09523,4.653987,9.99864,9.971804,4.574104
